utc,tke
2016-01-03 23:20:00,0.980281
2016-01-03 23:40:00,0.883673
2016-01-04 00:00:00,0.964232
2016-01-03 12:00:00,0.00000
2016-01-03 12:20:00,0.850092
2016-01-03 12:40:00,0.970143
2016-01-03 13:00:00,0.911561
2016-01-03 13:20:00,0.828302
2016-01-03 13:40:00,0.875620
2016-01-03 14:00:00,0.906013
2016-01-03 14:20:00,0.928189
2016-01-03 14:40:00,0.864285
2016-01-03 15:00:00,0.853019
2016-01-03 15:20:00,0.894973
2016-01-03 15:40:00,0.921666
2016-01-03 16:00:00,0.905117
2016-01-03 16:20:00,0.910373
2016-01-03 16:40:00,0.903599
2016-01-03 17:00:00,0.921330
2016-01-03 17:20:00,0.966440
2016-01-03 17:40:00,1.01023
2016-01-03 18:00:00,1.06154
2016-01-03 18:20:00,0.950251
2016-01-03 18:40:00,0.944365
2016-01-03 19:00:00,0.944913
2016-01-03 19:20:00,0.948812
2016-01-03 19:40:00,0.990627
2016-01-03 20:00:00,1.03203
2016-01-03 20:20:00,1.06268
2016-01-03 20:40:00,1.11899
2016-01-03 21:00:00,1.19201
2016-01-03 21:20:00,1.22980
2016-01-03 21:40:00,1.26144
2016-01-03 22:00:00,1.30453
2016-01-03 22:20:00,1.48827
2016-01-03 22:40:00,1.36458
2016-01-03 23:00:00,1.34055
2016-01-03 23:20:00,1.56817
2016-01-03 23:40:00,1.71853
2016-01-04 00:00:00,1.64284
2016-01-04 00:20:00,1.71997
2016-01-04 00:40:00,1.76398
2016-01-04 01:00:00,1.70679
2016-01-04 01:20:00,1.53421
2016-01-04 01:40:00,1.69337
2016-01-04 02:00:00,1.66851
2016-01-04 02:20:00,1.45973
2016-01-04 02:40:00,1.35226
2016-01-04 03:00:00,1.64494
2016-01-04 03:20:00,1.72475
2016-01-04 03:40:00,1.78444
2016-01-04 04:00:00,1.74637
2016-01-04 04:20:00,1.63922
2016-01-04 04:40:00,1.58615
2016-01-04 05:00:00,1.58545
2016-01-04 05:20:00,1.57297
2016-01-04 05:40:00,1.55819
2016-01-04 06:00:00,1.53478
2016-01-04 06:20:00,1.52676
2016-01-04 06:40:00,1.54365
2016-01-04 07:00:00,1.57791
2016-01-04 07:20:00,1.60667
2016-01-04 07:40:00,1.61315
2016-01-04 08:00:00,1.60272
2016-01-04 08:20:00,1.61454
2016-01-04 08:40:00,1.63252
2016-01-04 09:00:00,1.67744
2016-01-04 09:20:00,1.73627
2016-01-04 09:40:00,1.70816
2016-01-04 10:00:00,1.62563
2016-01-04 10:20:00,1.57028
2016-01-04 10:40:00,1.57083
2016-01-04 11:00:00,1.60995
2016-01-04 11:20:00,1.61965
2016-01-04 11:40:00,1.60168
2016-01-04 12:00:00,1.58163
2016-01-04 12:20:00,1.57687
2016-01-04 12:40:00,1.55795
