,Enhanc_FM(ppm)
24/01/2016 20:00,2.898053253
24/01/2016 21:00,4.257427165
24/01/2016 22:00,5.558822524
24/01/2016 23:00,6.470856308
25/01/2016 00:00,3.787823956
25/01/2016 01:00,3.303115311
25/01/2016 02:00,2.661506042
25/01/2016 03:00,2.322342479
25/01/2016 04:00,2.272694027
25/01/2016 05:00,2.195487898
25/01/2016 06:00,2.299310472
25/01/2016 07:00,1.988789462
25/01/2016 08:00,1.965510257
25/01/2016 09:00,2.003354518
25/01/2016 10:00,2.177030574
25/01/2016 11:00,2.734382981
25/01/2016 12:00,3.51294614
25/01/2016 13:00,3.26188797
25/01/2016 14:00,2.464310754
25/01/2016 15:00,2.103757918
25/01/2016 16:00,2.584601616
25/01/2016 17:00,3.125778397
25/01/2016 18:00,2.52024807
25/01/2016 19:00,1.990581313
25/01/2016 20:00,1.98963729
25/01/2016 21:00,1.963951927
25/01/2016 22:00,1.982774793
25/01/2016 23:00,1.830137197
26/01/2016 00:00,2.090907188
26/01/2016 01:00,2.864725332
26/01/2016 02:00,1.608157296
26/01/2016 03:00,1.475100499
26/01/2016 04:00,1.66717977
26/01/2016 05:00,2.592793796
26/01/2016 06:00,2.523057111
26/01/2016 07:00,3.375002521
26/01/2016 08:00,6.789531902
26/01/2016 09:00,9.144519195
26/01/2016 10:00,5.914361877
26/01/2016 11:00,4.413019657
26/01/2016 12:00,6.32053982
26/01/2016 13:00,6.116662959
26/01/2016 14:00,4.238902764
26/01/2016 15:00,3.928445981
26/01/2016 16:00,4.3914844
26/01/2016 17:00,4.571641614
26/01/2016 18:00,4.458034805
26/01/2016 19:00,4.343213261
26/01/2016 20:00,4.630109306
26/01/2016 21:00,5.171184214
26/01/2016 22:00,8.059579835
26/01/2016 23:00,5.463187985
27/01/2016 00:00,4.769192272
27/01/2016 01:00,4.18653045
27/01/2016 02:00,3.659885091
27/01/2016 03:00,3.378453742
27/01/2016 04:00,3.394606014
27/01/2016 05:00,2.952684835
27/01/2016 06:00,2.703496908
27/01/2016 07:00,2.777419026
27/01/2016 08:00,2.991992534
27/01/2016 09:00,3.597760716
27/01/2016 10:00,4.709513448
27/01/2016 11:00,7.935122225
27/01/2016 12:00,9.30561575
27/01/2016 13:00,11.10743082
27/01/2016 14:00,11.07955703
27/01/2016 15:00,9.665014887
27/01/2016 16:00,7.667472066
27/01/2016 17:00,9.320431065
27/01/2016 18:00,7.491884829
27/01/2016 19:00,5.721310634
27/01/2016 20:00,5.185849464
27/01/2016 21:00,8.448690782
27/01/2016 22:00,15.77950508
27/01/2016 23:00,10.75551079
28/01/2016 00:00,12.59684504
28/01/2016 01:00,9.724815734
28/01/2016 02:00,8.37554887
28/01/2016 03:00,5.136459867
28/01/2016 04:00,4.092649751
28/01/2016 05:00,3.262877476
28/01/2016 06:00,2.843771375
28/01/2016 07:00,2.677889828
28/01/2016 08:00,2.604382322
28/01/2016 09:00,2.770867058
28/01/2016 10:00,2.75131013
28/01/2016 11:00,3.825349175
28/01/2016 12:00,3.075442534
28/01/2016 13:00,4.604756696
28/01/2016 14:00,3.82739817
28/01/2016 15:00,3.821229927
28/01/2016 16:00,2.837119209
28/01/2016 17:00,6.019858725
28/01/2016 18:00,17.20707075
28/01/2016 19:00,4.503312215
28/01/2016 20:00,6.599837395
28/01/2016 21:00,5.231861715
28/01/2016 22:00,7.764090743
28/01/2016 23:00,7.362708538
29/01/2016 00:00,5.553504301
29/01/2016 01:00,5.560663508
29/01/2016 02:00,4.07910246
29/01/2016 03:00,4.482672246
29/01/2016 04:00,4.136270241
29/01/2016 05:00,4.576135348
29/01/2016 06:00,3.121128212
29/01/2016 07:00,3.118484651
29/01/2016 08:00,3.606229199
29/01/2016 09:00,4.094636823
29/01/2016 10:00,4.410131958
29/01/2016 11:00,7.15389358
29/01/2016 12:00,6.671973522
29/01/2016 13:00,7.700682268
29/01/2016 14:00,6.193025194
29/01/2016 15:00,5.301361371
29/01/2016 16:00,4.96433365
29/01/2016 17:00,4.595269664
29/01/2016 18:00,4.809360298
29/01/2016 19:00,5.305329743
29/01/2016 20:00,6.950136936
29/01/2016 21:00,9.468655802
29/01/2016 22:00,14.32611853
29/01/2016 23:00,11.08565152
30/01/2016 00:00,14.58762667
30/01/2016 01:00,11.03797355
30/01/2016 02:00,8.056802514
30/01/2016 03:00,4.218963941
30/01/2016 04:00,3.495596384
30/01/2016 05:00,2.087518243
30/01/2016 06:00,1.762872173
30/01/2016 07:00,1.556274755
30/01/2016 08:00,1.458568686
30/01/2016 09:00,1.834279237
30/01/2016 10:00,2.659437254
30/01/2016 11:00,4.550215712
30/01/2016 12:00,5.41971937
30/01/2016 13:00,8.595470061
30/01/2016 14:00,6.521760444
30/01/2016 15:00,5.065768896
30/01/2016 16:00,5.652366227
30/01/2016 17:00,4.58658534
30/01/2016 18:00,3.357349167
30/01/2016 19:00,3.378598707
30/01/2016 20:00,3.506610918
30/01/2016 21:00,3.01286276
30/01/2016 22:00,5.532527192
30/01/2016 23:00,7.014597026
31/01/2016 00:00,8.382726525
31/01/2016 01:00,6.458551044
31/01/2016 02:00,5.530273132
31/01/2016 03:00,5.018014222
31/01/2016 04:00,4.465668233
31/01/2016 05:00,3.654336215
31/01/2016 06:00,2.484599623
31/01/2016 07:00,2.170319368
31/01/2016 08:00,1.820492519
31/01/2016 09:00,1.70553181
31/01/2016 10:00,1.83036476
31/01/2016 11:00,2.451763994
31/01/2016 12:00,3.261504183
31/01/2016 13:00,3.76582537
31/01/2016 14:00,4.356605296
31/01/2016 15:00,3.524942881
31/01/2016 16:00,3.328484278
31/01/2016 17:00,2.863380121
31/01/2016 18:00,2.57333903
31/01/2016 19:00,2.587394518
31/01/2016 20:00,4.194066858
31/01/2016 21:00,8.609076717
31/01/2016 22:00,10.94843225
31/01/2016 23:00,33.19244949
1/02/2016 00:00,4.314842728
1/02/2016 01:00,5.969013169
1/02/2016 02:00,5.21127434
1/02/2016 03:00,2.711452284
1/02/2016 04:00,2.304302311
1/02/2016 05:00,1.950858
1/02/2016 06:00,2.130632157
1/02/2016 07:00,2.195965522
1/02/2016 08:00,2.130393237
1/02/2016 09:00,2.403014963
1/02/2016 10:00,2.92955834
1/02/2016 11:00,3.948769026
1/02/2016 12:00,5.594116028
1/02/2016 13:00,7.567190696
1/02/2016 14:00,15.82962628
1/02/2016 15:00,18.24063886
1/02/2016 16:00,20.31196797
1/02/2016 17:00,13.47814023
1/02/2016 18:00,9.122707147
1/02/2016 19:00,7.466949686
1/02/2016 20:00,9.751848657
1/02/2016 21:00,8.644758634
1/02/2016 22:00,10.41825919
1/02/2016 23:00,12.58853495
2/02/2016 00:00,12.45710738
2/02/2016 01:00,11.95202359
2/02/2016 02:00,8.059504507
2/02/2016 03:00,6.678523622
2/02/2016 04:00,4.228741341
2/02/2016 05:00,3.46711727
2/02/2016 06:00,1.863335271
2/02/2016 07:00,2.333295527
2/02/2016 08:00,3.228116728
2/02/2016 09:00,2.820294922
2/02/2016 10:00,2.513070306
2/02/2016 11:00,3.075689681
2/02/2016 12:00,2.862692976
2/02/2016 13:00,2.505402608
2/02/2016 14:00,2.030445208
2/02/2016 15:00,1.625064409
2/02/2016 16:00,1.186786201
2/02/2016 17:00,0.922117468
2/02/2016 18:00,0.954188462
2/02/2016 19:00,1.091285442
2/02/2016 20:00,1.313299089
2/02/2016 21:00,2.103866202
2/02/2016 22:00,3.096931041
2/02/2016 23:00,2.011800824
3/02/2016 00:00,2.499143222
3/02/2016 01:00,2.217517483
3/02/2016 02:00,1.886227724
3/02/2016 03:00,1.633233935
3/02/2016 04:00,2.584760382
3/02/2016 05:00,2.448953214
3/02/2016 06:00,1.149315297
3/02/2016 07:00,2.089666836
3/02/2016 08:00,2.556576792
3/02/2016 09:00,3.497340669
3/02/2016 10:00,4.292341471
3/02/2016 11:00,17.73014508
3/02/2016 12:00,7.878434919
3/02/2016 13:00,10.62072672
3/02/2016 14:00,18.62285513
3/02/2016 15:00,8.530581
3/02/2016 16:00,2.601314201
3/02/2016 17:00,2.301447723
3/02/2016 18:00,2.122720503
3/02/2016 19:00,2.214540039
3/02/2016 20:00,2.613369701
3/02/2016 21:00,3.770105844
3/02/2016 22:00,8.09806273
3/02/2016 23:00,4.051762898
4/02/2016 00:00,3.513516941
4/02/2016 01:00,4.701305608
4/02/2016 02:00,3.126465168
4/02/2016 03:00,2.777755004
