station,valid,drct,sped
IND,2016-01-17 01:33,270.00,8.05
IND,2016-01-17 01:54,260.00,6.90
IND,2016-01-17 02:54,270.00,12.65
IND,2016-01-17 03:54,270.00,8.05
IND,2016-01-17 04:54,260.00,8.05
IND,2016-01-17 05:31,240.00,8.05
IND,2016-01-17 05:54,250.00,6.90
IND,2016-01-17 06:22,250.00,8.05
IND,2016-01-17 06:47,250.00,8.05
IND,2016-01-17 06:54,280.00,9.20
IND,2016-01-17 07:54,300.00,11.50
IND,2016-01-17 08:54,290.00,10.35
IND,2016-01-17 09:24,310.00,12.65
IND,2016-01-17 09:54,300.00,10.35
IND,2016-01-17 10:54,300.00,6.90
IND,2016-01-17 11:54,260.00,5.75
IND,2016-01-17 12:54,260.00,9.20
IND,2016-01-17 13:54,310.00,9.20
IND,2016-01-17 14:04,300.00,10.35
IND,2016-01-17 14:24,320.00,16.10
IND,2016-01-17 14:30,300.00,12.65
IND,2016-01-17 14:50,300.00,17.25
IND,2016-01-17 14:54,310.00,17.25
IND,2016-01-17 15:00,300.00,18.40
IND,2016-01-17 15:19,310.00,17.25
IND,2016-01-17 15:54,310.00,18.40
IND,2016-01-17 16:54,300.00,18.40
IND,2016-01-17 17:24,290.00,21.85
IND,2016-01-17 17:54,300.00,19.55
IND,2016-01-17 18:54,300.00,16.10
IND,2016-01-17 19:37,270.00,17.25
IND,2016-01-17 19:54,280.00,20.70
IND,2016-01-17 20:54,300.00,17.25
IND,2016-01-17 21:54,290.00,21.85
IND,2016-01-17 22:54,290.00,18.40
IND,2016-01-17 23:54,290.00,18.40
IND,2016-01-18 00:54,290.00,16.10
IND,2016-01-18 01:54,280.00,13.80
IND,2016-01-18 02:54,280.00,16.10
IND,2016-01-18 03:54,290.00,17.25
IND,2016-01-18 04:54,280.00,19.55
IND,2016-01-18 05:54,290.00,13.80
IND,2016-01-18 06:54,290.00,20.70
IND,2016-01-18 07:54,290.00,13.80
IND,2016-01-18 08:54,300.00,9.20
IND,2016-01-18 10:23,290.00,11.50
IND,2016-01-18 10:54,290.00,12.65
IND,2016-01-18 11:20,270.00,12.65
IND,2016-01-18 11:54,290.00,13.80
IND,2016-01-18 12:54,280.00,12.65
IND,2016-01-18 13:54,280.00,10.35
IND,2016-01-18 14:54,260.00,13.80
IND,2016-01-18 15:54,280.00,13.80
IND,2016-01-18 16:54,260.00,10.35
IND,2016-01-18 17:54,240.00,12.65
IND,2016-01-18 18:54,250.00,18.40
IND,2016-01-18 19:54,250.00,16.10
IND,2016-01-18 20:54,280.00,14.95
IND,2016-01-18 21:54,260.00,14.95
IND,2016-01-18 22:54,280.00,13.80
IND,2016-01-18 23:54,280.00,9.20
IND,2016-01-19 00:54,280.00,12.65
IND,2016-01-19 01:43,270.00,16.10
IND,2016-01-19 01:54,280.00,14.95
IND,2016-01-19 02:54,290.00,16.10
IND,2016-01-19 03:54,290.00,11.50
IND,2016-01-19 04:54,290.00,12.65
IND,2016-01-19 05:42,290.00,10.35
IND,2016-01-19 05:54,290.00,8.05
IND,2016-01-19 06:54,270.00,6.90
IND,2016-01-19 07:54,250.00,6.90
IND,2016-01-19 08:37,250.00,6.90
IND,2016-01-19 08:51,260.00,4.60
IND,2016-01-19 08:54,270.00,5.75
IND,2016-01-19 09:54,270.00,3.45
IND,2016-01-19 10:54,250.00,8.05
IND,2016-01-19 11:06,250.00,8.05
IND,2016-01-19 11:35,270.00,5.75
IND,2016-01-19 11:54,270.00,6.90
IND,2016-01-19 12:54,280.00,4.60
