station,valid,sped
BOS,2021-01-17 04:54,17.25
BOS,2021-01-17 05:54,17.25
BOS,2021-01-17 06:54,14.95
BOS,2021-01-17 07:54,24.15
BOS,2021-01-17 08:54,18.40
BOS,2021-01-17 09:54,21.85
BOS,2021-01-17 10:54,18.40
BOS,2021-01-17 11:54,19.55
BOS,2021-01-17 12:54,20.70
BOS,2021-01-17 13:54,21.85
BOS,2021-01-17 14:54,21.85
BOS,2021-01-17 15:54,20.70
BOS,2021-01-17 16:54,20.70
BOS,2021-01-17 17:54,20.70
BOS,2021-01-17 18:54,20.70
BOS,2021-01-17 19:54,25.30
BOS,2021-01-17 20:54,18.40
BOS,2021-01-17 21:54,14.95
BOS,2021-01-17 22:54,13.80
BOS,2021-01-17 23:54,17.25
BOS,2021-01-18 00:54,16.10
BOS,2021-01-18 01:54,14.95
BOS,2021-01-18 02:54,14.95
BOS,2021-01-18 03:54,13.80
BOS,2021-01-18 04:54,13.80
BOS,2021-01-18 05:54,14.95
BOS,2021-01-18 06:54,14.95
BOS,2021-01-18 07:54,13.80
BOS,2021-01-18 08:54,10.35
BOS,2021-01-18 09:54,12.65
BOS,2021-01-18 10:54,10.35
BOS,2021-01-18 11:54,12.65
BOS,2021-01-18 12:54,12.65
BOS,2021-01-18 13:54,16.10
BOS,2021-01-18 14:54,13.80
BOS,2021-01-18 15:54,14.95
BOS,2021-01-18 16:54,17.25
BOS,2021-01-18 17:54,13.80
BOS,2021-01-18 18:54,18.40
BOS,2021-01-18 19:54,12.65
BOS,2021-01-18 20:54,16.10
BOS,2021-01-18 21:54,17.25
BOS,2021-01-18 22:54,24.15
BOS,2021-01-18 23:54,12.65
BOS,2021-01-19 00:54,17.25
BOS,2021-01-19 01:54,13.80
BOS,2021-01-19 02:54,16.10
BOS,2021-01-19 03:54,13.80
BOS,2021-01-19 04:54,10.35
BOS,2021-01-19 05:54,10.35
BOS,2021-01-19 06:54,9.20
BOS,2021-01-19 07:54,9.20
BOS,2021-01-19 08:54,6.90
BOS,2021-01-19 09:54,9.20
BOS,2021-01-19 10:54,10.35
BOS,2021-01-19 11:54,12.65
BOS,2021-01-19 12:54,11.50
BOS,2021-01-19 13:54,11.50
BOS,2021-01-19 14:54,11.50
BOS,2021-01-19 15:54,11.50
BOS,2021-01-19 16:54,10.35
BOS,2021-01-19 17:54,14.95
BOS,2021-01-19 18:54,12.65
BOS,2021-01-19 19:54,10.35
BOS,2021-01-19 20:54,10.35
BOS,2021-01-19 21:30,12.65
BOS,2021-01-19 21:54,8.05
BOS,2021-01-19 22:54,13.80
BOS,2021-01-19 23:54,13.80
BOS,2021-01-20 00:54,10.35
BOS,2021-01-20 01:54,10.35
BOS,2021-01-20 02:54,9.20
BOS,2021-01-20 03:54,10.35
BOS,2021-01-20 04:54,11.50
BOS,2021-01-20 05:54,10.35
BOS,2021-01-20 06:54,10.35
BOS,2021-01-20 07:54,11.50
BOS,2021-01-20 08:54,10.35
BOS,2021-01-20 09:54,9.20
BOS,2021-01-20 10:54,5.75
BOS,2021-01-20 11:54,0.00
BOS,2021-01-20 12:54,6.90
BOS,2021-01-20 13:54,5.75
BOS,2021-01-20 14:54,10.35
BOS,2021-01-20 15:54,10.35
BOS,2021-01-20 16:54,8.05
BOS,2021-01-20 17:54,13.80
BOS,2021-01-20 18:54,11.50
BOS,2021-01-20 19:54,14.95
BOS,2021-01-20 20:54,14.95
BOS,2021-01-20 21:54,14.95
BOS,2021-01-20 22:54,13.80
BOS,2021-01-20 23:54,9.20
BOS,2021-01-21 00:54,12.65
BOS,2021-01-21 01:54,12.65
BOS,2021-01-21 02:54,17.25
BOS,2021-01-21 03:54,11.50
BOS,2021-01-21 04:54,14.95
BOS,2021-01-21 05:54,11.50
BOS,2021-01-21 06:54,10.35
BOS,2021-01-21 07:54,12.65
BOS,2021-01-21 08:54,3.45
BOS,2021-01-21 09:54,8.05
BOS,2021-01-21 10:54,6.90
BOS,2021-01-21 11:54,5.75
BOS,2021-01-21 12:54,6.90
BOS,2021-01-21 13:54,9.20
